frequency,bandwidth
166.275,0.0125
166.2875,0.0125
166.325,0.0125
166.3375,0.0125
166.35,0.0125
166.3625,0.0125
166.375,0.0125
166.3875,0.0125
166.425,0.0125
166.4375,0.0125
166.4625,0.0125
166.5,0.0125
166.5125,0.0125
166.5375,0.0125
166.5625,0.0125
166.575,0.0125
166.6,0.0125
166.625,0.0125
166.6375,0.0125
166.65,0.0125
166.6625,0.0125
166.675,0.0125
166.6875,0.0125
166.7,0.0125
166.75,0.0125
166.775,0.0125
166.7875,0.0125
166.8,0.0125
166.825,0.0125
166.8375,0.0125
166.85,0.0125
166.8625,0.0125
166.875,0.0125
166.8875,0.0125
166.9,0.0125
166.925,0.0125
166.9375,0.0125
166.95,0.0125
166.975,0.0125
167.0,0.0125
167.0125,0.0125
167.025,0.0125
167.0375,0.0125
167.05,0.0125
167.0625,0.0125
167.075,0.0125
167.0875,0.0125
167.1,0.0125
167.125,0.0125
167.15,0.0125
167.1625,0.0125
167.1875,0.0125
167.2125,0.0125
167.225,0.0125
167.25,0.0125
167.275,0.0125
167.2875,0.0125
167.3,0.0125
167.325,0.0125
167.3375,0.0125
167.35,0.0125
167.3625,0.0125
167.375,0.0125
167.4,0.0125
167.4125,0.0125
167.425,0.0125
167.475,0.0125
167.5,0.0125
167.5125,0.0125
167.525,0.0125
167.5375,0.0125
167.55,0.0125
167.575,0.0125
167.6,0.0125
167.6125,0.0125
167.6375,0.0125
167.65,0.0125
167.675,0.0125
167.7,0.0125
167.7125,0.0125
167.725,0.0125
167.75,0.0125
167.775,0.0125
167.8,0.0125
167.8125,0.0125
167.825,0.0125
167.8375,0.0125
167.85,0.0125
167.9,0.0125
167.9125,0.0125
167.925,0.0125
167.9375,0.0125
167.95,0.0125
167.9625,0.0125
167.975,0.0125
167.9875,0.0125
