Freq_Hz,Amplitude_dB
-4.199902000000000000e+06,-9.468590546000008601e+01
-4.179902000000000000e+06,-9.810250396999987288e+01
-4.159902000000000000e+06,-9.673563995000020554e+01
-4.139902000000000000e+06,-8.980721282999994060e+01
-4.119902000000000000e+06,-1.002300536999999139e+02
-4.099902000000000000e+06,-9.475839233000004924e+01
-4.079902000000000000e+06,-8.954840850999988788e+01
-4.059902000000000000e+06,-9.521313171000002740e+01
-4.039902000000000000e+06,-9.805109253000026115e+01
-4.019902000000000000e+06,-8.743197326999987240e+01
-3.999902000000000000e+06,-9.479747771999990391e+01
-3.979902000000000000e+06,-9.556681670999996925e+01
-3.959902000000000000e+06,-8.465492249000003255e+01
-3.939902000000000000e+06,-8.977133942000000388e+01
-3.919902000000000000e+06,-9.486529693999987956e+01
-3.899902000000000000e+06,-8.231175537000014231e+01
-3.879902000000000000e+06,-6.827706146000011245e+01
-3.859902000000000000e+06,-7.896426238999994496e+01
-3.839902000000000000e+06,-8.965222930999995299e+01
-3.819902000000000000e+06,-9.038643646000009824e+01
-3.799902000000000000e+06,-9.345784607000010169e+01
-3.779902000000000000e+06,-9.407378845000008027e+01
-3.759902000000000000e+06,-9.660803374999997573e+01
-3.739902000000000000e+06,-9.435996703999991553e+01
-3.719902000000000000e+06,-9.188728179999999668e+01
-3.699902000000000000e+06,-9.170630187999996963e+01
-3.679902000000000000e+06,-9.259927520999995920e+01
-3.659902000000000000e+06,-9.350876312000018231e+01
-3.639902000000000000e+06,-9.204974822999992057e+01
-3.619902000000000000e+06,-8.908846587999987321e+01
-3.599902000000000000e+06,-9.788290100000011762e+01
-3.579902000000000000e+06,-9.164119719999990821e+01
-3.559902000000000000e+06,-9.095568541999999468e+01
-3.539902000000000000e+06,-7.112232361000016567e+01
-3.519902000000000000e+06,-6.692370911000007538e+01
-3.499902000000000000e+06,-8.689157866999995861e+01
-3.479902000000000000e+06,-9.434155578999997260e+01
-3.459902000000000000e+06,-9.690882111000001942e+01
-3.439902000000000000e+06,-9.293981322999999861e+01
-3.419902000000000000e+06,-9.437015075999990188e+01
-3.399902000000000000e+06,-9.618234406000009074e+01
-3.379902000000000000e+06,-9.723869476000000134e+01
-3.359902000000000000e+06,-9.458650818000006666e+01
-3.339902000000000000e+06,-8.327893523999976821e+01
-3.319902000000000000e+06,-9.517505645999999331e+01
-3.299902000000000000e+06,-9.593018799000006425e+01
-3.279902000000000000e+06,-9.099685210999997764e+01
-3.259902000000000000e+06,-9.148704529000013963e+01
-3.239902000000000000e+06,-9.272751007000000811e+01
-3.219902000000000000e+06,-8.930604247999990264e+01
-3.199902000000000000e+06,-9.470851439999997012e+01
-3.179902000000000000e+06,-7.318473969000005752e+01
-3.159902000000000000e+06,-7.786612244000006910e+01
-3.139902000000000000e+06,-9.211672820999976352e+01
-3.119902000000000000e+06,-9.480609436000003143e+01
-3.099902000000000000e+06,-9.404705352999995682e+01
-3.079902000000000000e+06,-9.594218139999989603e+01
-3.059902000000000000e+06,-9.437220153999992078e+01
-3.039902000000000000e+06,-8.599372100999988788e+01
-3.019902000000000000e+06,-9.193048401000007175e+01
-2.999902000000000000e+06,-8.779598998999989590e+01
-2.979902000000000000e+06,-9.308346558000005189e+01
-2.959902000000000000e+06,-9.651657410000005655e+01
-2.939902000000000000e+06,-9.721391906999998866e+01
-2.919902000000000000e+06,-9.246910857999986888e+01
-2.899902000000000000e+06,-9.690053101000007985e+01
-2.879902000000000000e+06,-9.515757446000012010e+01
-2.859902000000000000e+06,-9.377228394000003675e+01
-2.839902000000000000e+06,-8.888751677999988487e+01
-2.819902000000000000e+06,-7.997013855000017202e+01
-2.799902000000000000e+06,-9.046651000999997905e+01
-2.779902000000000000e+06,-9.740331573000001697e+01
-2.759902000000000000e+06,-9.426502379999996606e+01
-2.739902000000000000e+06,-9.472469177000007790e+01
-2.719902000000000000e+06,-9.413997039999978256e+01
-2.699902000000000000e+06,-8.978047180000000083e+01
-2.679902000000000000e+06,-9.671919555999994600e+01
-2.659902000000000000e+06,-9.533294525000013664e+01
-2.639902000000000000e+06,-9.183372345000015002e+01
-2.619902000000000000e+06,-9.412894591999992144e+01
-2.599902000000000000e+06,-9.479595795000017233e+01
-2.579902000000000000e+06,-9.322482451999999853e+01
-2.559902000000000000e+06,-9.320376891999994484e+01
-2.539902000000000000e+06,-9.081517180999986749e+01
-2.519902000000000000e+06,-9.406819916000009130e+01
-2.499902000000000000e+06,-9.444992371000003573e+01
-2.479902000000000000e+06,-8.467380219000004615e+01
-2.459902000000000000e+06,-8.342136382999986211e+01
-2.439902000000000000e+06,-9.263566741999986220e+01
-2.419902000000000000e+06,-9.577062530999988610e+01
-2.399902000000000000e+06,-9.130016173999985085e+01
-2.379902000000000000e+06,-9.546703186000009111e+01
-2.359902000000000000e+06,-9.103016052000015179e+01
-2.339902000000000000e+06,-9.379804687999984480e+01
-2.319902000000000000e+06,-9.523337555000016152e+01
-2.299902000000000000e+06,-9.090152130000006991e+01
-2.279902000000000000e+06,-9.228904724000008741e+01
-2.259902000000000000e+06,-9.463956145999995329e+01
-2.239902000000000000e+06,-9.214057465000021807e+01
-2.219902000000000000e+06,-9.008353118999994535e+01
-2.199902000000000000e+06,-9.220827178999999774e+01
-2.179902000000000000e+06,-8.678479918999988740e+01
-2.159902000000000000e+06,-9.044195251000013513e+01
-2.139902000000000000e+06,-9.006380767999989700e+01
-2.119902000000000000e+06,-7.828165282999999874e+01
-2.099902000000000000e+06,-8.733334808000006433e+01
-2.079902000000000000e+06,-9.169354400999992549e+01
-2.059902000000000000e+06,-8.816898040999991792e+01
-2.039902000000000000e+06,-8.880508269999997140e+01
-2.019902000000000000e+06,-9.175861663999984330e+01
-1.999902000000000000e+06,-9.146417389000009734e+01
-1.979902000000000000e+06,-9.250820007000018563e+01
-1.959902000000000000e+06,-8.965822601000016334e+01
-1.939902000000000000e+06,-8.861213073999996936e+01
-1.919902000000000000e+06,-9.212045593000019039e+01
-1.899902000000000000e+06,-8.825431365999992295e+01
-1.879902000000000000e+06,-9.204120635999987599e+01
-1.859902000000000000e+06,-8.872394562000023654e+01
-1.839902000000000000e+06,-9.410391693000013902e+01
-1.819902000000000000e+06,-8.949499207000006606e+01
-1.799902000000000000e+06,-9.538583373999986748e+01
-1.779902000000000000e+06,-8.889489441000010572e+01
-1.759902000000000000e+06,-8.502011261000005504e+01
