Frecuencia (Hz),PSD
-7514648.437500,-100.612286284280998
-7509765.625000,-100.599493829967898
-7504882.812500,-100.655679564316060
-7500000.000000,-100.663020203919032
-7495117.187500,-100.556302105875787
-7490234.375000,-100.599683144951769
-7485351.562500,-100.610747916857747
-7480468.750000,-100.600804688490967
-7475585.937500,-100.636825031732400
-7470703.125000,-100.595193102524760
-7465820.312500,-100.517563745669051
-7460937.500000,-100.570885278573670
-7456054.687500,-100.658846739611334
-7451171.875000,-100.615019393946895
-7446289.062500,-100.693044049061882
-7441406.250000,-100.637803071515947
-7436523.437500,-100.581643469545199
-7431640.625000,-100.592047956671593
-7426757.812500,-100.571944527247169
-7421875.000000,-100.609849198027774
-7416992.187500,-100.590521508848099
-7412109.375000,-100.556296773653330
-7407226.562500,-100.590330376489746
-7402343.750000,-100.633636525602583
-7397460.937500,-100.572673186322362
-7392578.125000,-100.593791662726900
-7387695.312500,-100.591509449317144
-7382812.500000,-100.585969309358333
-7377929.687500,-100.602309753247212
-7373046.875000,-100.597502732533059
-7368164.062500,-100.617383089868440
-7363281.250000,-100.566272018273821
-7358398.437500,-100.569271165583828
-7353515.625000,-100.604241892877454
-7348632.812500,-100.607605479656428
-7343750.000000,-100.597058866957752
-7338867.187500,-100.536428756211905
-7333984.375000,-100.613478138816106
-7329101.562500,-100.608214093680658
-7324218.750000,-100.586221362581796
-7319335.937500,-100.574554976656373
-7314453.125000,-100.548953806703594
-7309570.312500,-100.577159709637996
-7304687.500000,-100.648977119711930
-7299804.687500,-100.662080888839839
-7294921.875000,-100.658153957789125
-7290039.062500,-100.627549635532247
-7285156.250000,-100.570956428556883
-7280273.437500,-100.502117866055016
-7275390.625000,-100.554033004777281
-7270507.812500,-100.603930849848410
-7265625.000000,-100.601498547535741
-7260742.187500,-100.552398369808543
-7255859.375000,-100.548840726191244
-7250976.562500,-100.580590603495779
-7246093.750000,-100.628262842580085
-7241210.937500,-100.508204903646856
-7236328.125000,-100.562639515233514
-7231445.312500,-100.617298144923367
-7226562.500000,-100.499777862083931
-7221679.687500,-100.541481150421646
-7216796.875000,-100.542571627668963
-7211914.062500,-100.569162632174525
-7207031.250000,-100.582768519448663
-7202148.437500,-100.578767647102552
-7197265.625000,-100.585429821405967
-7192382.812500,-100.582029946006699
-7187500.000000,-100.561828721417669
-7182617.187500,-100.566957519426524
-7177734.375000,-100.579361291529139
-7172851.562500,-100.630842935901725
-7167968.750000,-100.583346843339001
-7163085.937500,-100.536351262298439
-7158203.125000,-100.542329648034780
-7153320.312500,-100.601347184959153
-7148437.500000,-100.623400586077651
-7143554.687500,-100.615123859784063
-7138671.875000,-100.617244761036076
-7133789.062500,-100.552069339005726
-7128906.250000,-100.573468809846815
-7124023.437500,-100.578767599246419
-7119140.625000,-100.550748547125224
-7114257.812500,-100.552828630860091
-7109375.000000,-100.546217198235553
-7104492.187500,-100.534219015733981
-7099609.375000,-100.529733939044064
-7094726.562500,-100.555273245797537
-7089843.750000,-100.598767409497242
-7084960.937500,-100.585184057056011
-7080078.125000,-100.581981792351982
-7075195.312500,-100.554289723281656
-7070312.500000,-100.581618180073264
-7065429.687500,-100.531291724263383
-7060546.875000,-100.418959492799885
-7055664.062500,-100.513486124933735
-7050781.250000,-100.563399983526338
-7045898.437500,-100.588929910761081
-7041015.625000,-100.520708760381666
-7036132.812500,-100.503098350638496
-7031250.000000,-100.585972057909160
-7026367.187500,-100.642598813089649
-7021484.375000,-100.597966789747574
-7016601.562500,-100.565779651854228
-7011718.750000,-100.589871882607952
-7006835.937500,-100.584048942100111
-7001953.125000,-100.572822738936708
-6997070.312500,-100.576164181670450
-6992187.500000,-100.520659637766528
-6987304.687500,-100.558861351064081
-6982421.875000,-100.582276133504934
-6977539.062500,-100.531749037400317
-6972656.250000,-100.514589246878643
-6967773.437500,-100.474004897602725
-6962890.625000,-100.543903745279536
-6958007.812500,-100.556756279941695
-6953125.000000,-100.540417621032091
-6948242.187500,-100.531390729283871
-6943359.375000,-100.562414538546449
-6938476.562500,-100.547357892547353
-6933593.750000,-100.471498863660685
-6928710.937500,-100.455691113717819
-6923828.125000,-100.530440345577944
-6918945.312500,-100.520007754582409
-6914062.500000,-100.571239353755885
-6909179.687500,-100.475006796180622
-6904296.875000,-100.458664262926362
-6899414.062500,-100.493384517234446
-6894531.250000,-100.513283331013966
-6889648.437500,-100.465381521250734
-6884765.625000,-100.475298063433641
-6879882.812500,-100.492343660282529
-6875000.000000,-100.453589927723371
-6870117.187500,-100.472425661760496
-6865234.375000,-100.475619399629210
-6860351.562500,-100.504114548226497
-6855468.750000,-100.531451393026600
-6850585.937500,-100.507452185864793
-6845703.125000,-100.446811297461522
-6840820.312500,-100.560359263845953
-6835937.500000,-100.518645112297179
-6831054.687500,-100.448707262691229
-6826171.875000,-100.460242145161516
-6821289.062500,-100.432566350039494
-6816406.250000,-100.525687861010368
-6811523.437500,-100.582288107997073
-6806640.625000,-100.511264211239833
-6801757.812500,-100.486022836619895
-6796875.000000,-100.591863582281903
-6791992.187500,-100.549978868657902
-6787109.375000,-100.495786703280004
-6782226.562500,-100.465733631275484
-6777343.750000,-100.482113994681100
-6772460.937500,-100.521183256813259
-6767578.125000,-100.550160604855080
-6762695.312500,-100.541740801130587
-6757812.500000,-100.529938906092582
-6752929.687500,-100.500607510483846
-6748046.875000,-100.574543538500834
-6743164.062500,-100.540263823970676
-6738281.250000,-100.513003724982525
-6733398.437500,-100.532764030660729
-6728515.625000,-100.508915619710223
-6723632.812500,-100.513710878642840
-6718750.000000,-100.508293219299418
-6713867.187500,-100.508257197100960
-6708984.375000,-100.440470401354119
-6704101.562500,-100.485755840279381
-6699218.750000,-100.533624781231111
-6694335.937500,-100.555200609548763
-6689453.125000,-100.532749207021638
-6684570.312500,-100.500176118449161
-6679687.500000,-100.464422618625505
-6674804.687500,-100.474043970344709
-6669921.875000,-100.485786180816405
-6665039.062500,-100.557970332305274
-6660156.250000,-100.577238416593104
-6655273.437500,-100.517572614085950
-6650390.625000,-100.522068654938209
-6645507.812500,-100.549969645511595
-6640625.000000,-100.522964731738284
-6635742.187500,-100.442696386968834
-6630859.375000,-100.445475944781094
-6625976.562500,-100.490646153913232
-6621093.750000,-100.510904940035687
-6616210.937500,-100.427351439964895
-6611328.125000,-100.420055031816204
-6606445.312500,-100.475288707797588
-6601562.500000,-100.473792619878623
-6596679.687500,-100.536197357646444
-6591796.875000,-100.498102399704237
-6586914.062500,-100.504848488711986
-6582031.250000,-100.420197859548551
-6577148.437500,-100.481207380290911
-6572265.625000,-100.552264085959592
-6567382.812500,-100.518322238689294
-6562500.000000,-100.504892090740427
-6557617.187500,-100.545096043697640
-6552734.375000,-100.502267014989314
-6547851.562500,-100.506289824423405
-6542968.750000,-100.508202835542164
-6538085.937500,-100.532101843363790
-6533203.125000,-100.489512098992307
-6528320.312500,-100.456388628922923
-6523437.500000,-100.479714751120440
-6518554.687500,-100.455769362325299
-6513671.875000,-100.535287730629022
-6508789.062500,-100.492185093796991
-6503906.250000,-100.475550889386710
-6499023.437500,-100.483470142722510
-6494140.625000,-100.483706113544486
-6489257.812500,-100.424637985209358
-6484375.000000,-100.505813067689871
-6479492.187500,-100.536740034232849
-6474609.375000,-100.583194654418392
-6469726.562500,-100.548234817886851
-6464843.750000,-100.466792300945087
-6459960.937500,-100.482342720621020
-6455078.125000,-100.520340184210028
-6450195.312500,-100.412840617869904
-6445312.500000,-100.480272742108383
-6440429.687500,-100.521133965053167
-6435546.875000,-100.517733715996101
-6430664.062500,-100.575770342338004
-6425781.250000,-100.517876050427503
-6420898.437500,-100.527158549137681
-6416015.625000,-100.521079790180096
-6411132.812500,-100.448064995995850
-6406250.000000,-100.513251666464058
-6401367.187500,-100.548004413283536
-6396484.375000,-100.570169527955670
-6391601.562500,-100.505848693479464
-6386718.750000,-100.487456556483806
-6381835.937500,-100.486929012792757
-6376953.125000,-100.503787188998444
-6372070.312500,-100.560425309507551
-6367187.500000,-100.547850552307082
-6362304.687500,-100.485724752996148
-6357421.875000,-100.436788093420319
-6352539.062500,-100.507794007376219
-6347656.250000,-100.468042860937658
-6342773.437500,-100.492309419303069
-6337890.625000,-100.499898395139141
-6333007.812500,-100.553317022637913
-6328125.000000,-100.500129753037086
-6323242.187500,-100.425911340733848
-6318359.375000,-100.407980593456600
-6313476.562500,-100.515921924186387
-6308593.750000,-100.478883782311186
-6303710.937500,-100.492593467736782
-6298828.125000,-100.548504322237989
-6293945.312500,-100.496512115540980
-6289062.500000,-100.493186850035698
-6284179.687500,-100.489836803741639
-6279296.875000,-100.502481661480928
-6274414.062500,-100.472405793205183
-6269531.250000,-100.451406072138411
-6264648.437500,-100.490242947837146
-6259765.625000,-100.419967055349417
-6254882.812500,-100.433472004790175
-6250000.000000,-100.410694733320355
-6245117.187500,-100.507323290318283
-6240234.375000,-100.520134846688876
-6235351.562500,-100.439634557446013
-6230468.750000,-100.500119535264915
-6225585.937500,-100.451125150827409
-6220703.125000,-100.452378357882210
-6215820.312500,-100.482576254680055
-6210937.500000,-100.463644753604939
-6206054.687500,-100.488345942908083
-6201171.875000,-100.463770021086219
-6196289.062500,-100.484968209431088
-6191406.250000,-100.462972658380352
-6186523.437500,-100.446259165189218
-6181640.625000,-100.454872912296565
-6176757.812500,-100.550042959239136
-6171875.000000,-100.476268510479017
-6166992.187500,-100.267385536164625
-6162109.375000,-100.378230378590061
-6157226.562500,-100.494138843738597
-6152343.750000,-100.406219106601952
-6147460.937500,-100.440468158887214
-6142578.125000,-100.479801999166781
-6137695.312500,-100.442987323931220
-6132812.500000,-100.404292707713253
-6127929.687500,-100.266526497100870
-6123046.875000,-100.216287554753606
-6118164.062500,-100.308570977533137
-6113281.250000,-99.991781128157768
-6108398.437500,-100.281393640726975
-6103515.625000,-100.470951652517158
-6098632.812500,-100.402659539786455
-6093750.000000,-100.288984435391214
-6088867.187500,-100.225784317425891
-6083984.375000,-100.130265881616225
-6079101.562500,-100.079422431730052
-6074218.750000,-99.640475569166853
-6069335.937500,-98.875639323302252
-6064453.125000,-99.822113285548326
-6059570.312500,-100.134641661001922
-6054687.500000,-100.120940884580421
-6049804.687500,-100.239064439492466
-6044921.875000,-100.238089610013674
-6040039.062500,-100.314189074416745
-6035156.250000,-100.231574259818814
-6030273.437500,-100.265438437980748
-6025390.625000,-100.229090019765792
-6020507.812500,-91.408938617432284
-6015625.000000,-86.273047261161864
-6010742.187500,-94.454370974418126
-6005859.375000,-100.223893540803374
