Frequency (Hz),PSD (dBfs)
354600000.0,-81.18605
354610000.0,-81.141624
354620000.0,-81.13431
354630000.0,-81.12547
354640000.0,-81.14662
354650000.0,-81.18167
354660000.0,-81.17484
354670000.0,-81.184906
354680000.0,-81.15464
354690000.0,-81.12599
354700000.0,-81.10046
354710000.0,-81.093025
354720000.0,-81.16014
354730000.0,-81.20956
354740000.0,-81.1385
354750000.0,-81.11649
354760000.0,-81.11212
354770000.0,-81.10408
354780000.0,-81.16393
354790000.0,-81.17329
354800000.0,-81.130455
354810000.0,-81.14264
354820000.0,-81.10297
354830000.0,-81.08258
354840000.0,-81.11576
354850000.0,-81.158905
354860000.0,-81.189224
354870000.0,-81.1726
354880000.0,-81.14964
354890000.0,-81.13903
354900000.0,-81.132286
354910000.0,-81.11185
354920000.0,-81.12473
354930000.0,-81.110916
354940000.0,-81.12747
354950000.0,-81.19981
354960000.0,-81.1651
354970000.0,-81.15718
354980000.0,-81.172485
354990000.0,-81.14578
355000000.0,-81.14846
355010000.0,-81.22398
355020000.0,-81.16885
355030000.0,-81.12459
355040000.0,-81.09257
355050000.0,-81.15529
355060000.0,-81.15016
355070000.0,-81.19152
355080000.0,-81.19106
355090000.0,-81.14121
355100000.0,-81.158485
355110000.0,-81.13583
355120000.0,-81.15296
355130000.0,-81.11767
355140000.0,-81.13107
355150000.0,-81.127426
355160000.0,-81.1517
355170000.0,-81.15115
355180000.0,-81.14438
355190000.0,-81.16142
355200000.0,-81.12154
355210000.0,-81.13515
355220000.0,-81.13815
355230000.0,-81.181
355240000.0,-81.13536
355250000.0,-81.166534
355260000.0,-81.16258
355270000.0,-81.15512
355280000.0,-81.17591
355290000.0,-81.16504
355300000.0,-81.15613
355310000.0,-81.15906
355320000.0,-81.156296
355330000.0,-81.14274
355340000.0,-81.16081
355350000.0,-81.162155
355360000.0,-81.16062
355370000.0,-81.160774
355380000.0,-81.17568
355390000.0,-81.21894
355400000.0,-81.199646
355410000.0,-81.18109
355420000.0,-81.135796
355430000.0,-81.13834
355440000.0,-81.13926
355450000.0,-81.15286
355460000.0,-81.1564
355470000.0,-81.14609
355480000.0,-81.13087
355490000.0,-81.12364
355500000.0,-81.127426
355510000.0,-81.14511
355520000.0,-81.14627
355530000.0,-81.16561
355540000.0,-81.17847
355550000.0,-81.16119
355560000.0,-81.12786
355570000.0,-81.12594
355580000.0,-81.15589
355590000.0,-81.15342
355600000.0,-81.120255
355610000.0,-81.152794
355620000.0,-81.21204
355630000.0,-81.14317
355640000.0,-81.12413
355650000.0,-81.14028
355660000.0,-81.14002
355670000.0,-81.19673
355680000.0,-81.1622
355690000.0,-81.15822
355700000.0,-81.19991
355710000.0,-81.17336
355720000.0,-81.15901
355730000.0,-81.17069
355740000.0,-81.18686
355750000.0,-81.13728
355760000.0,-81.08291
355770000.0,-81.1271
355780000.0,-81.04847
355790000.0,-81.06195
355800000.0,-81.17802
355810000.0,-81.1752
355820000.0,-81.12817
355830000.0,-81.13432
355840000.0,-81.16757
355850000.0,-81.18252
355860000.0,-81.2062
355870000.0,-81.17343
355880000.0,-81.09714
355890000.0,-81.145256
355900000.0,-81.20422
355910000.0,-81.16716
355920000.0,-81.14752
355930000.0,-81.1819
355940000.0,-81.15101
355950000.0,-81.130615
355960000.0,-81.169205
355970000.0,-81.15876
355980000.0,-81.19867
355990000.0,-81.12415
356000000.0,-81.01913
356010000.0,-81.149025
356020000.0,-81.18146
356030000.0,-81.213615
356040000.0,-81.196014
356050000.0,-81.15177
356060000.0,-81.18814
356070000.0,-81.18895
356080000.0,-81.13293
356090000.0,-81.13567
356100000.0,-81.18036
356110000.0,-81.15436
356120000.0,-81.16123
356130000.0,-81.178825
356140000.0,-81.25
356150000.0,-81.20982
356160000.0,-81.20209
356170000.0,-81.20765
356180000.0,-81.18761
356190000.0,-81.192154
356200000.0,-81.16707
356210000.0,-81.20882
356220000.0,-81.16919
356230000.0,-81.14627
356240000.0,-81.17928
356250000.0,-81.1763
356260000.0,-81.184235
356270000.0,-81.14006
356280000.0,-81.15939
356290000.0,-81.27716
356300000.0,-81.23791
356310000.0,-81.173065
356320000.0,-81.134796
356330000.0,-81.11904
356340000.0,-81.180984
356350000.0,-81.20167
356360000.0,-81.227
356370000.0,-81.22631
356380000.0,-81.21872
356390000.0,-81.18432
356400000.0,-81.192924
356410000.0,-81.178474
356420000.0,-81.1888
356430000.0,-81.14635
356440000.0,-81.1609
356450000.0,-81.1784
356460000.0,-81.1767
356470000.0,-81.17572
356480000.0,-81.16394
356490000.0,-81.07893
356500000.0,-81.14967
356510000.0,-81.20485
356520000.0,-81.19111
356530000.0,-81.16542
356540000.0,-81.14867
356550000.0,-81.18443
356560000.0,-81.18252
356570000.0,-81.17221
356580000.0,-81.16649
356590000.0,-81.14172
356600000.0,-81.107475
356610000.0,-81.16292
356620000.0,-81.200294
356630000.0,-81.21266
356640000.0,-81.150276
356650000.0,-81.13599
356660000.0,-81.219795
356670000.0,-81.249886
356680000.0,-81.17084
356690000.0,-81.17421
356700000.0,-81.17615
356710000.0,-81.140305
356720000.0,-81.20423
356730000.0,-81.19453
356740000.0,-81.093994
356750000.0,-81.12909
356760000.0,-81.15937
356770000.0,-81.16548
356780000.0,-81.15025
356790000.0,-81.178986
356800000.0,-81.20819
356810000.0,-81.17052
356820000.0,-81.15138
356830000.0,-81.1695
356840000.0,-81.14829
356850000.0,-81.138885
356860000.0,-81.123314
356870000.0,-81.1578
356880000.0,-81.16775
356890000.0,-81.208084
356900000.0,-81.20946
356910000.0,-81.16719
356920000.0,-81.16219
356930000.0,-81.233055
356940000.0,-81.21686
356950000.0,-81.166916
356960000.0,-81.185036
356970000.0,-81.199265
356980000.0,-81.18704
356990000.0,-81.1669
357000000.0,-81.16518
357010000.0,-81.21503
357020000.0,-81.172195
357030000.0,-81.13857
357040000.0,-81.1461
357050000.0,-81.15407
357060000.0,-81.121994
357070000.0,-81.154205
357080000.0,-81.13227
357090000.0,-81.17443
357100000.0,-81.13591
357110000.0,-81.170815
357120000.0,-81.171906
357130000.0,-81.15478
357140000.0,-81.17136
357150000.0,-81.15927
357160000.0,-81.116745
357170000.0,-81.14799
357180000.0,-81.13869
357190000.0,-81.17835
357200000.0,-81.19659
357210000.0,-81.13234
357220000.0,-81.12468
357230000.0,-81.115105
357240000.0,-81.19838
357250000.0,-81.19792
357260000.0,-81.15508
357270000.0,-81.13669
357280000.0,-81.149536
357290000.0,-81.225784
357300000.0,-81.21751
357310000.0,-81.16845
357320000.0,-81.1342
357330000.0,-81.13519
357340000.0,-81.119385
357350000.0,-81.165016
357360000.0,-81.198746
357370000.0,-81.146225
357380000.0,-81.13516
357390000.0,-81.15284
357400000.0,-81.122215
357410000.0,-81.09455
357420000.0,-81.09397
357430000.0,-81.09897
357440000.0,-81.15639
357450000.0,-81.22008
357460000.0,-81.21182
357470000.0,-81.162766
357480000.0,-81.13397
357490000.0,-81.11138
357500000.0,-81.11374
357510000.0,-81.13202
357520000.0,-81.12548
357530000.0,-81.1405
357540000.0,-81.162735
357550000.0,-81.16695
357560000.0,-81.09287
357570000.0,-81.096375
357580000.0,-81.10284
357590000.0,-81.09421
357600000.0,-81.11729
357610000.0,-81.10539
357620000.0,-81.134476
357630000.0,-81.14536
357640000.0,-81.15077
357650000.0,-81.11014
357660000.0,-81.101425
357670000.0,-81.09955
357680000.0,-81.11518
357690000.0,-81.11767
357700000.0,-81.09613
357710000.0,-81.041214
357720000.0,-81.05908
357730000.0,-81.0802
357740000.0,-81.088295
357750000.0,-81.04538
357760000.0,-81.04166
357770000.0,-81.013306
357780000.0,-81.05441
357790000.0,-81.028786
357800000.0,-81.00109
